dataset,location,model_type,model_label,lead_minutes,seed_count,mae_cm_mean,mae_cm_std,rmse_cm_mean,rmse_cm_std,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,mae_reduction_pct_mean,mae_reduction_pct_std,rmse_reduction_pct_mean,rmse_reduction_pct_std,csi_gain_mean,csi_gain_std,persistence_mae_cm_mean,persistence_mae_cm_std,persistence_rmse_cm_mean,persistence_rmse_cm_std,persistence_csi_mean,persistence_csi_std
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,5,3,0.17957532522585165,0.016468325942864313,0.7439663925682806,0.08150555899758484,0.9637557976923073,0.002691217139539103,0.9743514721135487,0.003321170330728762,0.011151776115757725,0.0014435314076842447,2.993941796731249,0.5440080919532176,1.928998441003893,1.1739744563030114,0.0028127197095710876,0.0015627315773371804,0.18518033538241782,0.017576980505929377,0.7585016535932054,0.08145875448341731,0.9609430779827363,0.0014186962314864083
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,15,3,0.5071393069026884,0.07155696161645543,2.043634490498782,0.30655774421563564,0.8996939498743844,0.010949590538698194,0.9292498367136837,0.013094464732165223,0.03409686453325686,0.001621656544304045,5.479986940655369,2.1617630791325646,2.540144256521493,1.530436856314991,0.008644976141539548,0.004344090459195266,0.5350748406442793,0.06456779381261074,2.093240570796819,0.28971505150267884,0.8910489737328449,0.007635985865163835
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,30,3,0.9328743952591027,0.1187337226258688,3.620431927251983,0.49187551281306446,0.8222785478875189,0.013202013910090977,0.872735282813302,0.01924431292198036,0.06544856679114726,0.005501659433888774,7.2171338279574915,2.462528677538289,3.3279746809552324,2.0687818327173795,0.014493087802980606,0.006547340980604464,1.0027991892303767,0.1041135470914745,3.7366646414706137,0.43997724860938,0.8077854600845383,0.008348608492956001
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,60,3,1.60035369370731,0.12657027717796276,5.9983957262999805,0.5203931772255318,0.7090915936739973,0.0066468490652796955,0.7794052290351123,0.010440284859443752,0.11259948526384081,0.012877372448219135,10.604198525892171,2.6985204576851727,4.639850427386665,2.0483855257586874,0.02167841254163357,0.0090316444733629,1.7876162822887598,0.09094645042119323,6.281554777095958,0.40931009644045563,0.6874131811323637,0.0025278240819442627
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,5,3,0.1174126219237556,0.007180039456331393,0.7615893250359912,0.1199667027272738,0.9453549833372097,0.006780792081021063,0.9613102899583804,0.006073271196071357,0.017265455641167486,0.001001268360668712,-10.697327124000077,4.686893487022643,6.796106330995095,3.338223772866048,0.014917878024545916,0.0029542758126340756,0.10644340163914391,0.009954834317860794,0.8136430944710088,0.09717271162203402,0.9304371053126638,0.004215326273148128
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,15,3,0.2855366436730893,0.04621994768857353,2.0796881906113045,0.5342726228920727,0.8549252029378184,0.029027400271424125,0.8950561053138183,0.03005073221683718,0.04990049885405196,0.004398479272928303,4.248021425360889,1.611407229106231,9.120442169677455,4.970839051086768,0.03577951073501521,0.008911554479508971,0.29748970691447313,0.04339150114716523,2.263995688156587,0.4474062543588757,0.8191456922028031,0.02017769576355895
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,30,3,0.47805443639475637,0.05154906380895868,3.5859682975405205,0.39812450012060213,0.7449468362795161,0.03187028534629695,0.8045798588029186,0.03292613391896735,0.09077747833985787,0.00572765764128125,12.922532612628078,2.7784070893931636,9.099638265498426,3.9265782072584177,0.053849657485531756,0.016071470244894224,0.5478431624610138,0.042890626915934545,3.9337462974379553,0.2613212011931541,0.6910971787939844,0.01580580531159668
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,60,3,0.70961495400499,0.01503108024543394,5.437350955669797,0.2633637969020648,0.6044231498311762,0.006889643459461988,0.6754207855721044,0.008778280520685206,0.148088886784539,0.005319062314070176,19.63931708791382,3.590907932593353,9.65034883787855,1.8168104992695002,0.06081737596327208,0.012645536057514993,0.8844599561591074,0.03562202791949096,6.025462143580229,0.3945588556537155,0.5436057738679041,0.007367112107075254
urbanflood24,location2,convlstm,Conv-LSTM,5,3,0.10398192659349792,0.012213107662805523,0.7703984165175355,0.10245545392581348,0.9406459649996108,0.004123847961022859,0.9616687702973948,0.0056719952908449965,0.022682403182772096,0.0037945352438102514,2.325252583543032,6.065674256138337,5.458285603023752,1.3048758146303137,0.01020885968694707,0.00036757304731788865,0.10644340163914391,0.009954834317860794,0.8136430944710088,0.09717271162203402,0.9304371053126638,0.004215326273148128
urbanflood24,location2,convlstm,Conv-LSTM,15,3,0.2763916855585368,0.06499343775172421,2.1084739491496958,0.46183966575463475,0.8447418919782077,0.020670734528755244,0.8982801158903633,0.02102514258818807,0.06589229072233743,0.00935112905851793,8.196934489184068,8.33123190928979,7.227532826119669,2.134978274589808,0.025596199775404616,0.0021852310042198633,0.29748970691447313,0.04339150114716523,2.263995688156587,0.4474062543588757,0.8191456922028031,0.02017769576355895
urbanflood24,location2,convlstm,Conv-LSTM,30,3,0.46285341770638116,0.05765519048243384,3.6366404070301863,0.2817759140285997,0.7321094183716063,0.02132595311474785,0.8126927097871461,0.026390504195225567,0.1189545404226939,0.01400803445519642,15.79418776936322,4.046641937916432,7.616827179196314,1.0498397089153497,0.0410122395776219,0.00571208331274524,0.5478431624610138,0.042890626915934545,3.9337462974379553,0.2613212011931541,0.6910971787939844,0.01580580531159668
