dataset,location,model_type,model_label,seed,event_id,samples,mean_mae_cm,mean_rmse_cm,mean_csi,mean_wet_rmse_cm,mean_boundary_f1,peak_time_mae_min,persistence_mean_mae_cm,persistence_mean_csi,persistence_peak_time_mae_min,mae_reduction_pct,csi_gain
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r100y_p0.7_d3h_1,26,0.5099832790960839,1.4902596075875452,0.7258034623767503,5.057976389723125,0.927774241298661,18.076923076923077,0.4198263858915212,0.643062689850945,55.0,-21.47480392713055,0.08274077252580536
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r100y_p0.8_d3h_1,26,0.5055933504330142,1.4588502470239018,0.7174252626955054,4.885105783788974,0.9222341481271193,20.76923076923077,0.38454974855222807,0.639373970419521,53.84615384615385,-31.476708107727834,0.0780512922759844
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r200y_p0.5_d3h_1,26,0.607126261633504,1.9032145762096064,0.7705563032568628,6.053452951620829,0.9372019697858206,9.038461538461538,0.645143305306119,0.7107959287498848,55.0,5.892806041686496,0.05976037450697791
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r300y_p0.1_d3h_1,26,7.738203835043435,16.874729592996314,0.7336573391568925,30.78795255710738,0.8395819696271086,0.0,9.849093978007787,0.6499613150569965,55.0,21.432328168233497,0.08369602409989596
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r300y_p0.5_d3h_1,26,0.6508642691350499,2.0649634169636633,0.7815540091544988,6.416321209627569,0.9417754026270997,9.423076923076923,0.7289477938276714,0.7311205776946749,55.0,10.711813020601719,0.05043343145982393
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r300y_p0.6_d3h_1,26,0.6020512424248134,1.8558594620692361,0.7926339574192367,5.881168404173917,0.9450882267634063,11.153846153846153,0.6675955418484582,0.7351729115370766,55.0,9.817965416929496,0.057461045882160056
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r300y_p0.8_d3h_1,26,0.5632488466600472,1.7088517031925643,0.7978268404745924,5.380083686923868,0.9467812632032335,17.115384615384617,0.5981127835596759,0.739708296865552,55.0,5.828990427547055,0.05811854360904045
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r500y_p0.1_d3h_1,26,8.39056352511513,18.05087600365189,0.721775659598139,32.38460378905974,0.8322343432440623,0.0,10.437738887635145,0.6577656554464262,55.0,19.6132072717891,0.06401000415171287
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r500y_p0.3_d3h_1,26,1.015710729800392,3.1468239935497455,0.7639048714639429,8.79463877623257,0.9241623638071289,3.4615384615384617,1.1791099887065046,0.7444395670556976,55.0,13.857847060168087,0.019465304408245343
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r500y_p0.4_d3h_1,26,0.8071966500651935,2.5917866850461513,0.7831942418112791,7.654277216077901,0.9383709022539188,3.4615384615384617,0.9457617622116108,0.753722275622938,55.0,14.651164562034161,0.029471966188341026
