dataset,location,model_type,model_label,event_id,seed_count,mean_mae_cm,mean_rmse_cm,mean_csi,mean_wet_rmse_cm,mean_boundary_f1,peak_time_mae_min,mae_reduction_pct,csi_gain
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r300y_p0.8_d3h_1,5,0.5270405684033413,1.2467448487956392,0.8698501784461221,3.4294708887955867,0.9761281895188362,0.0,11.882744711348138,0.1301418815805701
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r500y_p0.1_d3h_1,5,8.52212148727833,18.167707013182543,0.728356367431523,32.63863175114179,0.8537292009923935,0.0,18.352800553634403,0.07059071198509677
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r500y_p0.3_d3h_1,5,0.9617381771125321,2.1533273607917263,0.8336988816808798,4.879514023442046,0.9450431277269765,1.0384615384615385,18.435244690992022,0.08925931462518218
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r500y_p0.4_d3h_1,5,0.7982540330795358,1.8943695731656314,0.846659186417153,4.903525267936727,0.9584614720627617,1.9615384615384617,15.59671103504295,0.092936910794215
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r500y_p0.9_d3h_1,5,0.5749901304134991,1.3690425989824169,0.869306955871869,3.873465411051411,0.9735914988620148,0.0,14.780576133452966,0.10479967175779423
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r100y_p0.5_d3h_1,5,0.6148659690928336,1.6804064799070884,0.74184637779591,4.772599725865466,0.910914132327163,4.230769230769231,-22.90358295509195,0.09729529149916778
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r100y_p0.7_d3h_1,5,0.5463995911125876,1.5099583589670407,0.7369328664882622,4.357415032622604,0.9140200801254178,0.8461538461538461,-30.148940008208918,0.09387017663731727
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r100y_p0.8_d3h_1,5,0.5488567596263553,1.5202017799383292,0.721463365703524,4.409718289541089,0.9063664193539446,1.1538461538461537,-42.72711442218292,0.08208939528400297
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r200y_p0.5_d3h_1,5,0.5841286058531172,1.6068139031138096,0.8198733087120107,4.53441726336457,0.9442132896655439,4.653846153846154,9.457542060992242,0.10907737996212588
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r300y_p0.1_d3h_1,5,8.615472006315207,18.551486105970938,0.7002633649357182,33.846776515628626,0.8406849842789458,0.0,12.525233025973312,0.05030204987872169
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r300y_p0.5_d3h_1,5,0.5892917636907316,1.6368626110728794,0.8403210979580198,4.654922225983059,0.9547551121722142,4.576923076923077,19.158577791094267,0.1092005202633449
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r300y_p0.6_d3h_1,5,0.5214962686030413,1.4788293797394858,0.8490343960880706,4.266060779618761,0.9598927469847932,4.230769230769231,21.884399173920922,0.11386148455099394
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r300y_p0.8_d3h_1,5,0.5005382130749345,1.4119165552736364,0.8499471728354602,4.055883451657594,0.959898640149045,0.8461538461538461,16.313741014533267,0.11023887596990822
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r500y_p0.1_d3h_1,5,9.175915680938923,19.38323411370224,0.7030617402234346,34.79384540082009,0.8404689307004403,0.0,12.08904744868657,0.045296084777008395
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r500y_p0.3_d3h_1,5,0.9004495490856473,2.311467361922026,0.8331776435158057,6.009516003468159,0.9482793596281055,3.8076923076923075,23.63311669732784,0.08873807646010816
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r500y_p0.4_d3h_1,5,0.730148370234977,1.9662136886769648,0.8443023790366062,5.384574530392924,0.9567705759921237,4.230769230769231,22.797854659764837,0.09058010341366822
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),r500y_p0.9_d3h_1,5,0.509207329985009,1.4673511313003638,0.8652932205916944,4.2704254170184095,0.9665741108348329,0.4230769230769231,24.530260617276184,0.10078593647761971
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r100y_p0.5_d3h_1,5,0.7043531333529407,1.899210196562981,0.7203430858714148,4.765689414484651,0.902234257101424,0.0,-40.79088469059825,0.07579199957467264
