dataset,location,model_type,model_label,seed,split_seed,rain_forcing,prediction_mode,lead_minutes,threshold_m,csi,pod,far,f1,false_positive_rate,persistence_csi,persistence_pod,persistence_far,persistence_f1,persistence_false_positive_rate
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,5,0.2,0.8970057337014228,0.9085092082269122,0.013919285651755231,0.9457069293630359,0.0005307046578512581,0.8660321715817695,0.8684769458260518,0.003239940755369045,0.9282071175093027,0.00011682178003015115
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,5,0.3,0.8831003289473685,0.8995225330876193,0.020254550431093473,0.9379216979278119,0.00048677592081778357,0.8437696072280085,0.8448651365387837,0.0015344255803593527,0.9152657728169877,3.3986607084124524e-05
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,15,0.05,0.8177108453772848,0.8510216621807576,0.04568128881987578,0.8997149876250646,0.005737074518589121,0.8116672514269577,0.820869429755857,0.013623269792739109,0.8960445145626482,0.001596678907871627
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,15,0.1,0.7982375829709316,0.8130423520269395,0.022302864173688226,0.8877999109018011,0.0016674623598318563,0.7540115883191798,0.760134697578034,0.010570325539052886,0.8597566781662235,0.0007300969969375517
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,15,0.2,0.749309004759035,0.7642383263740223,0.025408152232673804,0.8566914166914167,0.0010575807727315175,0.6759391846361186,0.6803662646516458,0.00953468279437176,0.8066392752585221,0.0003476515518872754
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,15,0.3,0.7219331537708129,0.7397290346860691,0.03224879990153038,0.8385147265326437,0.000869359394943558,0.629461632308318,0.6310606535783729,0.004009305548680889,0.7726007410393749,8.959047199800026e-05
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,30,0.05,0.7179623422981553,0.7958348435423462,0.1199418827969739,0.8358301280780364,0.017875276267845408,0.6993339181373497,0.7103494623655914,0.021693237242483804,0.823068274778972,0.0025959221870457756
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,30,0.1,0.684417408526419,0.721174629201759,0.06930856326261405,0.8126458502054651,0.00598992258464447,0.6141999367955335,0.6208115503785177,0.017044017735219245,0.7609961105745386,0.0012005970922037191
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,30,0.2,0.6176287440064762,0.6351295104536868,0.04270823279606216,0.7636223655086132,0.002026251983322916,0.5045513654096229,0.5093330771939936,0.0182670945445569,0.6707000864304236,0.000677706878037947
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,30,0.3,0.5802929196637491,0.5972305839855508,0.04659523724771295,0.7344118453523444,0.0014688835699369245,0.44571619068785423,0.4471871028162419,0.007325644706231748,0.6166026133743274,0.00016607698116933905
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,60,0.05,0.6357736071148313,0.7619069387755102,0.20659521510275697,0.7773369179567646,0.03880440683378573,0.595591200322595,0.60768,0.032321467569338284,0.7465461080534651,0.003969982436532013
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,60,0.1,0.5933726568049165,0.6543943599611737,0.13580857714709785,0.7448008527958135,0.014755287983443976,0.4862776423106029,0.49242204928222333,0.025018122966434582,0.6543563981149901,0.0018129530855630783
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,60,0.2,0.497561137840055,0.5170316441843588,0.07036039768019885,0.6644952586813138,0.0040002779115652426,0.3608003835266186,0.36412123166952737,0.0246544063194273,0.5302767222795407,0.0009408955111394257
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,60,0.3,0.44575393923752993,0.4566417954291757,0.05077397490306231,0.6166387337981099,0.0019160840449997465,0.29212463594186777,0.2931672639680395,0.012027916646042667,0.4521616999105191,0.00027998101198733517
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,5,0.05,0.9276137102635706,0.9430724355858046,0.017364171453464222,0.9624477200224252,0.0020572525955710255,0.9234984825346504,0.9289936801166747,0.006364458865004836,0.9602279293901281,0.0007345616035527816
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,5,0.1,0.9175507362622395,0.9283975193323635,0.012573085128906696,0.9570028254384165,0.0008866480225566932,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,5,0.2,0.9048691918254831,0.9178115338083076,0.015344678396308048,0.9500591386627705,0.0005918970188194324,0.8660321715817695,0.8684769458260518,0.003239940755369045,0.9282071175093027,0.00011682178003015115
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,5,0.3,0.8915411071077629,0.9120036857094991,0.024548671773507145,0.9426610965605317,0.0006007955058742014,0.8437696072280085,0.8448651365387837,0.0015344255803593527,0.9152657728169877,3.3986607084124524e-05
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,15,0.05,0.8002005920701425,0.8562056998450847,0.07556602098692755,0.8890126973571885,0.009856749868670113,0.8116672514269577,0.820869429755857,0.013623269792739109,0.8960445145626482,0.001596678907871627
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,15,0.1,0.7909490886235072,0.8149203471052973,0.035856573705179286,0.883273671650172,0.002724763912015743,0.7540115883191798,0.760134697578034,0.010570325539052886,0.8597566781662235,0.0007300969969375517
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,15,0.2,0.7656554757853675,0.7821276415354289,0.02677040749043914,0.8672761886854538,0.0011419622173643512,0.6759391846361186,0.6803662646516458,0.00953468279437176,0.8066392752585221,0.0003476515518872754
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,15,0.3,0.7491324200913242,0.7717807188107634,0.03769600750791851,0.8565759933169739,0.001066237222297188,0.629461632308318,0.6310606535783729,0.004009305548680889,0.7726007410393749,8.959047199800026e-05
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,30,0.05,0.6824864787467376,0.7918176875679594,0.16827018409384742,0.8112831661566908,0.026401001533162098,0.6993339181373497,0.7103494623655914,0.021693237242483804,0.823068274778972,0.0025959221870457756
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,30,0.1,0.6677399344223555,0.722058369446012,0.10125240209396329,0.8007722554819512,0.009072761408938096,0.6141999367955335,0.6208115503785177,0.017044017735219245,0.7609961105745386,0.0012005970922037191
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,30,0.2,0.6351269696171544,0.6562449972785195,0.04822382168562805,0.7768533959975743,0.002377697948791919,0.5045513654096229,0.5093330771939936,0.0182670945445569,0.6707000864304236,0.000677706878037947
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,30,0.3,0.618999396707748,0.6406002631168194,0.0516603947976497,0.7646690887797607,0.0017561518616892946,0.44571619068785423,0.4471871028162419,0.007325644706231748,0.6166026133743274,0.00016607698116933905
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,60,0.05,0.580050435380274,0.7826220408163266,0.30854801950206273,0.7342176203896581,0.0683072010218745,0.595591200322595,0.60768,0.032321467569338284,0.7465461080534651,0.003969982436532013
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,60,0.1,0.570318258915472,0.678524598538903,0.2185186274798231,0.7263728300648531,0.027222394612939405,0.4862776423106029,0.49242204928222333,0.025018122966434582,0.6543563981149901,0.0018129530855630783
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,60,0.2,0.5285806649919976,0.5744796046492875,0.13130574136008918,0.6915966910974435,0.008876683808471827,0.3608003835266186,0.36412123166952737,0.0246544063194273,0.5302767222795407,0.0009408955111394257
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,60,0.3,0.5041493200111019,0.5335908583514483,0.09864781044535417,0.6703447766839808,0.0045810884924347515,0.29212463594186777,0.2931672639680395,0.012027916646042667,0.4521616999105191,0.00027998101198733517
